[18-11-23 19:55:33 59.973171] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:56:33 59.973275] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:57:33 59.972090] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:58:33 59.971946] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:59:33 59.973042] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:00:33 59.971006] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:01:33 59.973073] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:02:33 59.973100] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:03:33 59.971118] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:04:33 59.973091] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:05:33 59.973094] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:06:33 59.970972] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:07:33 59.973007] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:08:33 59.973035] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 20:09:33 59.971050] , Lithium, Small Load, 3.36, Large Load, 3.00
